Month of date,region,Avg. price_kv_m
01.01.2019,Челябинск,"35 986,03"
01.02.2019,Челябинск,"40 000,59"
01.03.2019,Челябинск,"36 758,07"
01.04.2019,Челябинск,"37 354,56"
01.05.2019,Челябинск,"40 030,63"
01.06.2019,Челябинск,"43 599,73"
01.07.2019,Челябинск,"39 251,69"
01.08.2019,Челябинск,"40 943,80"
01.09.2019,Челябинск,"39 397,06"
01.10.2019,Челябинск,"39 391,22"
01.11.2019,Челябинск,"39 644,63"
01.12.2019,Челябинск,"39 147,06"
01.01.2020,Челябинск,"38 668,15"
01.02.2020,Челябинск,"41 706,54"
01.03.2020,Челябинск,"38 279,27"
01.04.2020,Челябинск,"37 937,20"
01.05.2020,Челябинск,"36 561,55"
01.06.2020,Челябинск,"37 206,61"
01.07.2020,Челябинск,"38 236,88"
01.08.2020,Челябинск,"38 764,58"
01.09.2020,Челябинск,"39 270,97"
01.10.2020,Челябинск,"42 733,01"
01.11.2020,Челябинск,"40 183,05"
01.12.2020,Челябинск,"41 017,95"
01.01.2021,Челябинск,"42 157,66"
01.02.2021,Челябинск,"43 392,86"
01.03.2021,Челябинск,"42 838,33"
01.04.2021,Челябинск,"45 680,21"
01.05.2021,Челябинск,"46 293,67"
01.10.2019,Томск,"68 611,11"
01.11.2019,Томск,"54 764,13"
01.12.2019,Томск,"54 041,62"
01.01.2020,Томск,"52 076,87"
01.02.2020,Томск,"58 960,75"
01.03.2020,Томск,"58 443,56"
01.04.2020,Томск,"57 402,51"
01.05.2020,Томск,"61 475,29"
01.06.2020,Томск,"58 113,46"
01.07.2020,Томск,"59 162,05"
01.08.2020,Томск,"58 620,12"
01.09.2020,Томск,"64 647,92"
01.10.2020,Томск,"66 117,17"
01.11.2020,Томск,"64 741,59"
01.12.2020,Томск,"69 102,64"
01.01.2021,Томск,"68 375,35"
01.02.2021,Томск,"69 376,92"
01.03.2021,Томск,"72 997,15"
01.04.2021,Томск,"74 464,86"
01.05.2021,Томск,"71 679,92"
01.01.2019,Новосибирск,"56 115,52"
01.02.2019,Новосибирск,"40 748,96"
01.03.2019,Новосибирск,"78 483,94"
01.04.2019,Новосибирск,"67 592,74"
01.05.2019,Новосибирск,"50 118,95"
01.06.2019,Новосибирск,"44 683,62"
01.07.2019,Новосибирск,"48 520,95"
01.08.2019,Новосибирск,"47 473,13"
01.09.2019,Новосибирск,"38 543,79"
01.10.2019,Новосибирск,"62 948,56"
01.11.2019,Новосибирск,"68 066,96"
01.12.2019,Новосибирск,"70 947,74"
01.01.2020,Новосибирск,"70 916,28"
01.02.2020,Новосибирск,"55 029,59"
01.03.2020,Новосибирск,"67 440,48"
01.04.2020,Новосибирск,"63 333,06"
01.05.2020,Новосибирск,"67 930,56"
01.06.2020,Новосибирск,"61 374,68"
01.07.2020,Новосибирск,"70 240,77"
01.08.2020,Новосибирск,"75 959,70"
01.09.2020,Новосибирск,"64 136,18"
01.10.2020,Новосибирск,"72 742,29"
01.11.2020,Новосибирск,"72 943,08"
01.12.2020,Новосибирск,"76 917,19"
01.01.2021,Новосибирск,"78 823,15"
01.02.2021,Новосибирск,"76 214,78"
01.03.2021,Новосибирск,"81 790,83"
01.04.2021,Новосибирск,"83 165,21"
01.05.2021,Новосибирск,"84 947,85"
01.01.2019,Красноярск,"50 443,82"
01.02.2019,Красноярск,"51 740,58"
01.03.2019,Красноярск,"53 382,35"
01.04.2019,Красноярск,"53 627,75"
01.05.2019,Красноярск,"58 136,47"
01.06.2019,Красноярск,"62 543,20"
01.07.2019,Красноярск,"57 841,94"
01.08.2019,Красноярск,"58 945,77"
01.09.2019,Красноярск,"58 443,97"
01.10.2019,Красноярск,"57 398,65"
01.11.2019,Красноярск,"57 731,86"
01.12.2019,Красноярск,"58 098,18"
01.01.2020,Красноярск,"57 853,95"
01.02.2020,Красноярск,"58 057,10"
01.03.2020,Красноярск,"58 341,64"
01.04.2020,Красноярск,"58 961,15"
01.05.2020,Красноярск,"57 706,75"
01.06.2020,Красноярск,"58 656,02"
01.07.2020,Красноярск,"58 706,11"
01.08.2020,Красноярск,"61 368,10"
01.09.2020,Красноярск,"60 890,85"
01.10.2020,Красноярск,"62 860,73"
01.11.2020,Красноярск,"64 601,28"
01.12.2020,Красноярск,"65 661,20"
01.01.2021,Красноярск,"69 682,37"
01.02.2021,Красноярск,"68 666,11"
01.03.2021,Красноярск,"70 522,68"
01.04.2021,Красноярск,"72 511,95"
01.05.2021,Красноярск,"74 370,59"
01.01.2019,Кемерово,"39 820,56"
01.02.2019,Кемерово,"41 780,19"
01.03.2019,Кемерово,"38 591,01"
01.04.2019,Кемерово,"37 884,92"
01.05.2019,Кемерово,"40 115,11"
01.06.2019,Кемерово,"46 652,85"
01.07.2019,Кемерово,"41 002,16"
01.08.2019,Кемерово,"43 467,44"
01.09.2019,Кемерово,"43 536,08"
01.10.2019,Кемерово,"43 700,23"
01.11.2019,Кемерово,"46 132,56"
01.12.2019,Кемерово,"44 286,19"
01.01.2020,Кемерово,"44 454,32"
01.02.2020,Кемерово,"46 681,90"
01.03.2020,Кемерово,"43 275,95"
01.04.2020,Кемерово,"38 343,72"
01.05.2020,Кемерово,"40 003,43"
01.06.2020,Кемерово,"37 826,21"
01.07.2020,Кемерово,"37 796,20"
01.08.2020,Кемерово,"43 809,20"
01.09.2020,Кемерово,"36 982,72"
01.10.2020,Кемерово,"41 535,05"
01.11.2020,Кемерово,"42 028,72"
01.12.2020,Кемерово,"43 242,40"
01.01.2021,Кемерово,"47 196,84"
01.02.2021,Кемерово,"44 142,84"
01.03.2021,Кемерово,"47 209,89"
01.04.2021,Кемерово,"48 202,27"
01.05.2021,Кемерово,"58 931,79"
01.01.2019,Барнаул,"40 857,80"
01.02.2019,Барнаул,"41 427,77"
01.03.2019,Барнаул,"41 315,57"
01.04.2019,Барнаул,"40 920,14"
01.05.2019,Барнаул,"42 921,89"
01.06.2019,Барнаул,"48 174,24"
01.07.2019,Барнаул,"45 797,40"
01.08.2019,Барнаул,"44 328,80"
01.09.2019,Барнаул,"43 123,22"
01.10.2019,Барнаул,"45 995,11"
01.11.2019,Барнаул,"45 096,06"
01.12.2019,Барнаул,"45 371,27"
01.01.2020,Барнаул,"42 530,62"
01.02.2020,Барнаул,"43 509,35"
01.03.2020,Барнаул,"43 765,02"
01.04.2020,Барнаул,"43 222,71"
01.05.2020,Барнаул,"43 608,19"
01.06.2020,Барнаул,"65 235,14"
01.07.2020,Барнаул,"45 104,76"
01.08.2020,Барнаул,"44 750,36"
01.09.2020,Барнаул,"46 691,98"
01.10.2020,Барнаул,"49 249,51"
01.11.2020,Барнаул,"51 383,43"
01.12.2020,Барнаул,"51 948,30"
01.01.2021,Барнаул,"54 260,53"
01.02.2021,Барнаул,"53 672,90"
01.03.2021,Барнаул,"54 215,81"
01.04.2021,Барнаул,"54 510,86"
01.05.2021,Барнаул,"54 681,10"
01.01.2019,Тюмень,"56 997,26"
01.02.2019,Тюмень,"58 817,25"
01.03.2019,Тюмень,"59 913,58"
01.04.2019,Тюмень,"60 933,08"
01.05.2019,Тюмень,"63 678,62"
01.06.2019,Тюмень,"42 990,68"
01.07.2019,Тюмень,"63 419,12"
01.08.2019,Тюмень,"64 950,23"
01.09.2019,Тюмень,"64 413,19"
01.10.2019,Тюмень,"71 821,26"
01.11.2019,Тюмень,"64 987,95"
01.12.2019,Тюмень,"76 318,34"
01.01.2020,Тюмень,"89 435,31"
01.02.2020,Тюмень,"67 812,74"
01.03.2020,Тюмень,"61 903,33"
01.04.2020,Тюмень,"76 608,27"
