rooms (group),region,% of Total Count of all_v2.csv
1,Челябинск,"35,46%"
2,Челябинск,"39,69%"
3,Челябинск,"21,09%"
4,Челябинск,"3,47%"
5 и более,Челябинск,"0,29%"
1,Томск,"35,39%"
2,Томск,"34,43%"
3,Томск,"23,43%"
4,Томск,"6,30%"
5 и более,Томск,"0,43%"
1,Новосибирск,"44,06%"
2,Новосибирск,"30,32%"
3,Новосибирск,"22,92%"
4,Новосибирск,"2,27%"
5 и более,Новосибирск,"0,43%"
1,Красноярск,"37,20%"
2,Красноярск,"36,85%"
3,Красноярск,"20,18%"
4,Красноярск,"5,22%"
5 и более,Красноярск,"0,54%"
1,Кемерово,"26,81%"
2,Кемерово,"42,55%"
3,Кемерово,"24,18%"
4,Кемерово,"5,89%"
5 и более,Кемерово,"0,57%"
1,Барнаул,"31,76%"
2,Барнаул,"38,40%"
3,Барнаул,"24,96%"
4,Барнаул,"4,60%"
5 и более,Барнаул,"0,28%"
1,Тюмень,"41,74%"
2,Тюмень,"32,80%"
3,Тюмень,"21,70%"
4,Тюмень,"3,32%"
5 и более,Тюмень,"0,45%"
