Month of date,region,% Difference in Avg. price_kv_m
01.01.2019,Челябинск,0%
01.02.2019,Челябинск,"11,16%"
01.03.2019,Челябинск,"2,15%"
01.04.2019,Челябинск,"3,80%"
01.05.2019,Челябинск,"11,24%"
01.06.2019,Челябинск,"21,16%"
01.07.2019,Челябинск,"9,07%"
01.08.2019,Челябинск,"13,78%"
01.09.2019,Челябинск,"9,48%"
01.10.2019,Челябинск,"9,46%"
01.11.2019,Челябинск,"10,17%"
01.12.2019,Челябинск,"8,78%"
01.01.2020,Челябинск,"7,45%"
01.02.2020,Челябинск,"15,90%"
01.03.2020,Челябинск,"6,37%"
01.04.2020,Челябинск,"5,42%"
01.05.2020,Челябинск,"1,60%"
01.06.2020,Челябинск,"3,39%"
01.07.2020,Челябинск,"6,25%"
01.08.2020,Челябинск,"7,72%"
01.09.2020,Челябинск,"9,13%"
01.10.2020,Челябинск,"18,75%"
01.11.2020,Челябинск,"11,66%"
01.12.2020,Челябинск,"13,98%"
01.01.2021,Челябинск,"17,15%"
01.02.2021,Челябинск,"20,58%"
01.03.2021,Челябинск,"19,04%"
01.04.2021,Челябинск,"26,94%"
01.05.2021,Челябинск,"28,64%"
01.10.2019,Томск,0%
01.11.2019,Томск,"-20,18%"
01.12.2019,Томск,"-21,23%"
01.01.2020,Томск,"-24,10%"
01.02.2020,Томск,"-14,07%"
01.03.2020,Томск,"-14,82%"
01.04.2020,Томск,"-16,34%"
01.05.2020,Томск,"-10,40%"
01.06.2020,Томск,"-15,30%"
01.07.2020,Томск,"-13,77%"
01.08.2020,Томск,"-14,56%"
01.09.2020,Томск,"-5,78%"
01.10.2020,Томск,"-3,63%"
01.11.2020,Томск,"-5,64%"
01.12.2020,Томск,"0,72%"
01.01.2021,Томск,"-0,34%"
01.02.2021,Томск,"1,12%"
01.03.2021,Томск,"6,39%"
01.04.2021,Томск,"8,53%"
01.05.2021,Томск,"4,47%"
01.01.2019,Новосибирск,0%
01.02.2019,Новосибирск,"-27,38%"
01.03.2019,Новосибирск,"39,86%"
01.04.2019,Новосибирск,"20,45%"
01.05.2019,Новосибирск,"-10,69%"
01.06.2019,Новосибирск,"-20,37%"
01.07.2019,Новосибирск,"-13,53%"
01.08.2019,Новосибирск,"-15,40%"
01.09.2019,Новосибирск,"-31,31%"
01.10.2019,Новосибирск,"12,18%"
01.11.2019,Новосибирск,"21,30%"
01.12.2019,Новосибирск,"26,43%"
01.01.2020,Новосибирск,"26,38%"
01.02.2020,Новосибирск,"-1,94%"
01.03.2020,Новосибирск,"20,18%"
01.04.2020,Новосибирск,"12,86%"
01.05.2020,Новосибирск,"21,05%"
01.06.2020,Новосибирск,"9,37%"
01.07.2020,Новосибирск,"25,17%"
01.08.2020,Новосибирск,"35,36%"
01.09.2020,Новосибирск,"14,29%"
01.10.2020,Новосибирск,"29,63%"
01.11.2020,Новосибирск,"29,99%"
01.12.2020,Новосибирск,"37,07%"
01.01.2021,Новосибирск,"40,47%"
01.02.2021,Новосибирск,"35,82%"
01.03.2021,Новосибирск,"45,75%"
01.04.2021,Новосибирск,"48,20%"
01.05.2021,Новосибирск,"51,38%"
01.01.2019,Красноярск,0%
01.02.2019,Красноярск,"2,57%"
01.03.2019,Красноярск,"5,83%"
01.04.2019,Красноярск,"6,31%"
01.05.2019,Красноярск,"15,25%"
01.06.2019,Красноярск,"23,99%"
01.07.2019,Красноярск,"14,67%"
01.08.2019,Красноярск,"16,85%"
01.09.2019,Красноярск,"15,86%"
01.10.2019,Красноярск,"13,79%"
01.11.2019,Красноярск,"14,45%"
01.12.2019,Красноярск,"15,17%"
01.01.2020,Красноярск,"14,69%"
01.02.2020,Красноярск,"15,09%"
01.03.2020,Красноярск,"15,66%"
01.04.2020,Красноярск,"16,88%"
01.05.2020,Красноярск,"14,40%"
01.06.2020,Красноярск,"16,28%"
01.07.2020,Красноярск,"16,38%"
01.08.2020,Красноярск,"21,66%"
01.09.2020,Красноярск,"20,71%"
01.10.2020,Красноярск,"24,62%"
01.11.2020,Красноярск,"28,07%"
01.12.2020,Красноярск,"30,17%"
01.01.2021,Красноярск,"38,14%"
01.02.2021,Красноярск,"36,12%"
01.03.2021,Красноярск,"39,80%"
01.04.2021,Красноярск,"43,75%"
01.05.2021,Красноярск,"47,43%"
01.01.2019,Кемерово,0%
01.02.2019,Кемерово,"4,92%"
01.03.2019,Кемерово,"-3,09%"
01.04.2019,Кемерово,"-4,86%"
01.05.2019,Кемерово,"0,74%"
01.06.2019,Кемерово,"17,16%"
01.07.2019,Кемерово,"2,97%"
01.08.2019,Кемерово,"9,16%"
01.09.2019,Кемерово,"9,33%"
01.10.2019,Кемерово,"9,74%"
01.11.2019,Кемерово,"15,85%"
01.12.2019,Кемерово,"11,21%"
01.01.2020,Кемерово,"11,64%"
01.02.2020,Кемерово,"17,23%"
01.03.2020,Кемерово,"8,68%"
01.04.2020,Кемерово,"-3,71%"
01.05.2020,Кемерово,"0,46%"
01.06.2020,Кемерово,"-5,01%"
01.07.2020,Кемерово,"-5,08%"
01.08.2020,Кемерово,"10,02%"
01.09.2020,Кемерово,"-7,13%"
01.10.2020,Кемерово,"4,31%"
01.11.2020,Кемерово,"5,55%"
01.12.2020,Кемерово,"8,59%"
01.01.2021,Кемерово,"18,52%"
01.02.2021,Кемерово,"10,85%"
01.03.2021,Кемерово,"18,56%"
01.04.2021,Кемерово,"21,05%"
01.05.2021,Кемерово,"47,99%"
01.01.2019,Барнаул,0%
01.02.2019,Барнаул,"1,40%"
01.03.2019,Барнаул,"1,12%"
01.04.2019,Барнаул,"0,15%"
01.05.2019,Барнаул,"5,05%"
01.06.2019,Барнаул,"17,91%"
01.07.2019,Барнаул,"12,09%"
01.08.2019,Барнаул,"8,50%"
01.09.2019,Барнаул,"5,54%"
01.10.2019,Барнаул,"12,57%"
01.11.2019,Барнаул,"10,37%"
01.12.2019,Барнаул,"11,05%"
01.01.2020,Барнаул,"4,09%"
01.02.2020,Барнаул,"6,49%"
01.03.2020,Барнаул,"7,12%"
01.04.2020,Барнаул,"5,79%"
01.05.2020,Барнаул,"6,73%"
01.06.2020,Барнаул,"59,66%"
01.07.2020,Барнаул,"10,39%"
01.08.2020,Барнаул,"9,53%"
01.09.2020,Барнаул,"14,28%"
01.10.2020,Барнаул,"20,54%"
01.11.2020,Барнаул,"25,76%"
01.12.2020,Барнаул,"27,14%"
01.01.2021,Барнаул,"32,80%"
01.02.2021,Барнаул,"31,37%"
01.03.2021,Барнаул,"32,69%"
01.04.2021,Барнаул,"33,42%"
01.05.2021,Барнаул,"33,83%"
01.01.2019,Тюмень,0%
01.02.2019,Тюмень,"3,19%"
01.03.2019,Тюмень,"5,12%"
01.04.2019,Тюмень,"6,91%"
01.05.2019,Тюмень,"11,72%"
01.06.2019,Тюмень,"-24,57%"
01.07.2019,Тюмень,"11,27%"
01.08.2019,Тюмень,"13,95%"
01.09.2019,Тюмень,"13,01%"
01.10.2019,Тюмень,"26,01%"
01.11.2019,Тюмень,"14,02%"
01.12.2019,Тюмень,"33,90%"
01.01.2020,Тюмень,"56,91%"
01.02.2020,Тюмень,"18,98%"
01.03.2020,Тюмень,"8,61%"
01.04.2020,Тюмень,"34,41%"
01.05.2020,Тюмень,"16,13%"
01.06.2020,Тюмень,"20,97%"
01.07.2020,Тюмень,"20,72%"
01.08.2020,Тюмень,"21,99%"
01.09.2020,Тюмень,"24,78%"
01.10.2020,Тюмень,"25,83%"
01.11.2020,Тюмень,"28,37%"
01.12.2020,Тюмень,"22,27%"
01.01.2021,Тюмень,"34,97%"
01.02.2021,Тюмень,"39,04%"
01.03.2021,Тюмень,"41,04%"
01.04.2021,Тюмень,"33,18%"
01.05.2021,Тюмень,"46,25%"
